prompt_id,user_id,prompt_text,category,tokens,response_quality,success_flag,hallucination_flag,response_time_ms
1,101,Explain SQL joins,education,120,4,1,0,850
2,102,Write Python loop,code,150,5,1,0,920
3,103,What is AI,education,60,3,1,0,500
4,101,Generate SQL query,code,200,4,1,0,1100
5,104,Who won world cup,knowledge,80,2,0,1,700
6,105,Explain machine learning,education,180,5,1,0,1200
7,106,Create REST API,code,220,4,1,0,1400
8,107,What is blockchain,knowledge,90,4,1,0,650
9,108,Write HTML page,code,140,5,1,0,800
10,109,Define database,education,70,3,1,0,400
11,110,Explain neural network,education,200,5,1,0,1500
12,101,SQL group by example,code,160,4,1,0,950
13,102,Weather prediction AI,knowledge,130,2,0,1,1000
14,103,Python list example,code,110,5,1,0,700
15,104,History of internet,knowledge,90,3,1,0,600
16,105,Build chatbot,code,250,4,1,0,1600
17,106,Explain overfitting,education,170,5,1,0,1100
18,107,What is cloud computing,knowledge,100,4,1,0,750
19,108,SQL subquery example,code,180,4,1,0,980
20,109,AI will take over world,knowledge,95,1,0,1,300
21,101,Explain cryptocurrency,knowledge,239,3,1,0,801
22,124,What is a data structure,education,76,5,1,0,478
23,102,Explain the dark web,knowledge,57,1,0,1,1334
24,118,Who invented the internet,knowledge,100,5,1,0,1159
25,119,What is tokenization,education,121,1,0,0,626
26,111,Explain the dark web,knowledge,121,2,0,1,509
27,104,Explain regularization,education,141,3,1,0,1536
28,124,Create a linked list in Java,code,167,5,1,0,555
29,118,Build a React component,code,125,5,1,0,1040
30,123,History of Linux,knowledge,67,1,0,0,892
31,128,Explain reinforcement learning,education,75,4,1,0,869
32,106,Write a CSS animation,code,144,3,1,0,729
33,123,Who is Alan Turing,knowledge,289,1,0,0,650
34,106,What is edge computing,knowledge,168,4,1,0,852
35,108,What is the IoT,knowledge,225,3,1,0,414
36,126,Define recursion,education,130,4,1,0,848
37,130,What is natural language processing,education,291,5,1,0,1770
38,121,Build a sorting algorithm,code,177,4,1,0,1616
39,109,Create a Django model,code,85,2,1,0,1497
40,113,Build a Docker file,code,142,2,0,0,1310
41,128,Define recursion,education,78,2,1,0,1164
42,113,What is quantum computing,knowledge,147,5,1,0,1258
43,118,Who is Alan Turing,knowledge,270,1,0,0,534
44,125,What is the IoT,knowledge,118,3,1,0,528
45,106,Write a JavaScript promise,code,166,1,0,0,1773
46,125,Create an async function,code,95,5,1,0,517
47,127,Explain Web3,knowledge,213,5,1,0,1547
48,112,What is a data structure,education,245,2,0,1,1386
49,111,Define hyperparameter,education,175,1,0,1,1043
50,102,Write a regex pattern,code,111,5,1,0,461
51,127,Explain attention mechanism,education,67,5,1,0,557
52,118,Explain attention mechanism,education,92,3,1,0,1380
53,107,Explain the dark web,knowledge,287,5,1,0,1794
54,123,History of Linux,knowledge,129,4,1,0,1675
55,115,History of databases,knowledge,280,5,1,0,1224
56,108,Explain reinforcement learning,education,66,3,1,0,343
57,108,What is the IoT,knowledge,200,2,0,1,420
58,129,What is supervised learning,education,58,3,1,0,445
59,109,What is edge computing,knowledge,221,4,1,0,738
60,124,Who created Python,knowledge,289,5,1,0,1480
61,126,Write a regex pattern,code,171,4,1,0,689
